,model_number,name,manufacturer,cores,tdp,base_frequency,socket,memory_type,ecc_Compatability,architecture,wattage,clock
125,8861,AMD Ryzen 9 PRO 3900,amd,12,65,3100,AM4,DDR4,TRUE,xarm,65,7
126,1216,AMD Ryzen 7 1700 Processor,amd,8,65,3000,AM4,DDR4,FALSE,x64,65,14
127,8871,AMD Ryzen 7 PRO 3700,amd,8,65,3600,AM4,DDR4,FALSE,x64,65,7
128,11011,AMD Ryzen 7 PRO 5850U,amd,8,15,1900,FP6,DDR4,FALSE,x64,15,7
129,11006,AMD Ryzen 5 PRO 5650U,amd,6,15,2300,FP6,DDR4,FALSE,x64,15,7
130,11231,AMD Ryzen 7 PRO 5750G,amd,8,65,3800,AM4,DDR4,FALSE,x64,65,7
131,11016,AMD Ryzen 3 PRO 5450U,amd,4,15,2600,FP6,DDR4,FALSE,x64,15,7
132,11226,AMD Ryzen 7 PRO 5750GE,amd,8,35,3200,AM4,DDR4,FALSE,x64,35,7
133,11246,AMD Ryzen 3 PRO 5350G,amd,4,65,4000,AM4,DDR4,FALSE,x64,65,7
134,10241,AMD Ryzen 7 PRO 4750G,amd,8,65,3600,AM4,DDR4,FALSE,x64,65,7
135,10256,AMD Ryzen 7 PRO 4750GE,amd,8,35,3100,AM4,DDR4,FALSE,x64,35,7
136,8866,AMD Ryzen 5 PRO 3600,amd,6,65,3600,AM4,DDR4,FALSE,x64,65,7
137,1246,AMD Ryzen 5 1600X,amd,6,95,3600,AM4,DDR4,FALSE,x64,95,14
138,11251,AMD Ryzen 3 PRO 5350GE,amd,4,35,3600,AM4,DDR4,FALSE,x64,35,7
139,10246,AMD Ryzen 5 PRO 4650G,amd,6,65,3700,AM4,DDR4,FALSE,x64,65,7
140,10261,AMD Ryzen 5 PRO 4650GE,amd,6,35,3300,AM4,DDR4,FALSE,x64,35,7
141,10251,AMD Ryzen 3 PRO 4350G,amd,4,65,3800,AM4,DDR4,FALSE,x64,65,7
142,10266,AMD Ryzen 3 PRO 4350GE,amd,4,35,3500,AM4,DDR4,FALSE,x64,35,7
143,1241,AMD Ryzen 5 1600,amd,6,65,3200,AM4,DDR4,FALSE,x64,65,14
144,9121,AMD Ryzen 5 1600 (AF),amd,6,65,3200,AM4,DDR4,FALSE,x64,65,12
145,8876,AMD Ryzen 5 PRO 3400G,amd,4,65,3700,AM4,DDR4,FALSE,x64,65,12
146,8886,AMD Ryzen 5 PRO 3400GE,amd,4,35,3300,AM4,DDR4,FALSE,x64,35,12
147,1236,AMD Ryzen 5 1500X,amd,4,65,3500,AM4,DDR4,FALSE,x64,65,14
148,10271,AMD Ryzen 5 PRO 3350G,amd,4,65,3600,AM4,DDR4,FALSE,x64,65,12
149,10276,AMD Ryzen 5 PRO 3350GE,amd,4,35,3300,,DDR4,FALSE,x64,35,12
150,1231,AMD Ryzen 5 1400,amd,4,65,3200,AM4,DDR4,FALSE,x64,65,14
151,8881,AMD Ryzen 3 PRO 3200G,amd,4,65,3600,AM4,DDR4,FALSE,x64,65,12
152,8891,AMD Ryzen 3 PRO 3200GE,amd,4,35,3300,AM4,DDR4,FALSE,x64,35,12
153,2041,AMD Ryzen 3 1300X,amd,4,65,3500,AM4,DDR4,FALSE,x64,65,14
154,10281,AMD Athlon Gold PRO 3150G,amd,4,65,3500,AM4,DDR4,FALSE,x64,65,12
155,10286,AMD Athlon Gold PRO 3150GE,amd,4,35,3300,AM4,DDR4,FALSE,x64,35,12
156,10291,AMD Athlon Silver PRO 3125GE,amd,2,35,3400,AM4,DDR4,FALSE,x64,35,12
157,8896,AMD Athlon PRO 300GE,amd,2,35,3400,AM4,DDR4,FALSE,x64,35,12
158,2046,AMD Ryzen 3 1200,amd,4,65,3100,AM4,DDR4,FALSE,x64,65,14
159,8236,AMD Ryzen 7 PRO 2700X,amd,8,95,3600,AM4,DDR4,FALSE,x64,95,12
160,9686,AMD Ryzen 7 PRO 4750U,amd,8,15,1700,FP6,DDR4,FALSE,x64,15,7
161,8241,AMD Ryzen 7 PRO 2700,amd,8,65,3200,AM4,DDR4,FALSE,x64,65,12
162,9691,AMD Ryzen 5 PRO 4650U,amd,6,15,2100,FP6,DDR4,FALSE,x64,15,7
163,9696,AMD Ryzen 3 PRO 4450U,amd,4,15,2500,FP6,DDR4,FALSE,x64,15,7
164,2011,AMD Ryzen 7 PRO 1700X Processor,amd,8,95,3400,AM4,DDR4,FALSE,x64,95,14
165,8416,AMD Ryzen 7 PRO 3700U,amd,4,15,2300,FP5,,FALSE,x64,15,12
166,8411,AMD Ryzen 5 PRO 3500U,amd,4,15,2100,FP5,,FALSE,x64,15,12
167,2016,AMD Ryzen 7 PRO 1700,amd,8,65,3000,AM4,DDR4,FALSE,x64,65,14
168,8246,AMD Ryzen 5 PRO 2600,amd,6,65,3400,AM4,DDR4,FALSE,x64,65,12
169,10896,AMD Athlon PRO 3145B,amd,2,15,2400,FP5,DDR4,FALSE,x64,15,14
170,8406,AMD Ryzen 3 PRO 3300U,amd,4,15,2100,FP5,,FALSE,x64,15,12
171,10901,AMD Athlon PRO 3045B,amd,2,15,2300,FP5,DDR4,FALSE,x64,15,14
172,2021,AMD Ryzen 5 PRO 1600,amd,6,65,3200,AM4,DDR4,FALSE,x64,65,14
173,8421,AMD Athlon PRO 300U Mobile Processor with Radeon Vega 3 Graphics,amd,2,15,2400,FP5,,FALSE,x64,15,14
174,2026,AMD Ryzen 5 PRO 1500,amd,4,65,3500,AM4,DDR4,FALSE,x64,65,14
175,7206,AMD Ryzen 7 PRO 2700U,amd,4,15,2200,FP5,DDR4,FALSE,x64,15,14
176,7771,AMD Ryzen 5 PRO 2400G with Radeon Vega 11 Graphics,amd,4,65,3600,AM4,,FALSE,x64,65,14
177,7786,AMD Ryzen 5 PRO 2400GE with Radeon Vega 11 Graphics,amd,4,35,3200,AM4,DDR4,FALSE,x64,35,14
178,2031,AMD Ryzen 3 PRO 1300,amd,4,65,3500,AM4,DDR4,FALSE,x64,65,14
179,7211,AMD Ryzen 5 PRO 2500U,amd,4,15,2000,FP5,DDR4,FALSE,x64,15,14
180,7776,AMD Ryzen 3 PRO 2200G with Radeon Vega 8 Graphics,amd,4,65,3500,AM4,,FALSE,x64,65,14
181,7781,AMD Ryzen 3 PRO 2200GE with Radeon Vega 8 Graphics,amd,4,35,3200,AM4,DDR4,FALSE,x64,35,14
182,2036,AMD Ryzen 3 PRO 1200,amd,4,65,3100,AM4,DDR4,FALSE,x64,65,14
183,7216,AMD Ryzen 3 PRO 2300U,amd,4,15,2000,FP5,DDR4,FALSE,x64,15,14
184,9436,7th Gen AMD PRO A4-5350B APU,amd,2,15,3000,,DDR4,FALSE,x64,15,28
185,7491,7th Gen AMD PRO A4-4350B APU,amd,2,15,2500,,DDR4,FALSE,x64,15,28
186,9431,7th Gen AMD PRO A6-8350B APU,amd,2,15,3100,,DDR4,FALSE,x64,15,28
187,7496,7th Gen AMD PRO A6-7350B APU,amd,2,15,3000,,DDR4,FALSE,x64,15,28
188,2121,7th Gen A12-9800 APU,amd,4,65,3800,AM4,DDR4,FALSE,x64,65,28
189,2116,7th Gen A12-9800E APU,amd,4,35,3100,AM4,DDR4,FALSE,x64,35,28
190,2111,7th Gen A10-9700 APU,amd,4,65,3500,AM4,DDR4,FALSE,x64,65,28
191,2106,7th Gen A10-9700E APU,amd,4,35,3000,AM4,DDR4,FALSE,x64,35,28
192,2101,7th Gen A8-9600 APU,amd,4,65,3100,AM4,DDR4,FALSE,x64,65,28
193,2086,7th Gen A6-9550 APU,amd,2,65,3800,AM4,DDR4,FALSE,x64,65,28
194,2096,7th Gen A6-9500 APU,amd,2,65,3500,AM4,DDR4,FALSE,x64,65,28
195,2091,7th Gen A6-9500E APU,amd,2,35,3000,AM4,DDR4,FALSE,x64,35,28
196,6126,7th Gen A12-9730P APU,amd,4,35,2800,FP4,DDR4,FALSE,x64,35,28
197,6131,7th Gen A12-9700P APU,amd,4,15,2500,FP4,DDR4,FALSE,x64,15,28
198,6136,7th Gen A10-9630P APU,amd,4,35,2600,FP4,DDR4,FALSE,x64,35,28
